codelist_name,concept_id,concept_name,vocabulary_id
peripheral_vascular_disease,4316222,Venous intermittent claudication,SNOMED CT
peripheral_vascular_disease,192673,Vascular insufficiency of intestine,SNOMED CT
peripheral_vascular_disease,4134603,Vascular disorder of intestine,SNOMED CT
peripheral_vascular_disease,312939,Thromboangiitis obliterans,SNOMED CT
peripheral_vascular_disease,433222,"Thoracoabdominal aortic aneurysm, ruptured",SNOMED CT
peripheral_vascular_disease,436996,Thoracoabdominal aortic aneurysm,SNOMED CT
peripheral_vascular_disease,441051,Thoracic aortic aneurysm without rupture,SNOMED CT
peripheral_vascular_disease,441875,Thoracic aortic aneurysm which has ruptured,SNOMED CT
peripheral_vascular_disease,320646,Syphilitic aneurysm of aorta,SNOMED CT
peripheral_vascular_disease,317305,Stricture of artery,SNOMED CT
peripheral_vascular_disease,312343,Ruptured aortic aneurysm,SNOMED CT
peripheral_vascular_disease,195559,Ruptured abdominal aortic aneurysm,SNOMED CT
peripheral_vascular_disease,44782775,Peripheral vascular disease associated with another disorder,SNOMED CT
peripheral_vascular_disease,321052,Peripheral vascular disease,SNOMED CT
peripheral_vascular_disease,317309,Peripheral arterial occlusive disease,SNOMED CT
peripheral_vascular_disease,36712807,Pain at rest of right lower limb co-occurrent and due to atherosclerosis,SNOMED CT
peripheral_vascular_disease,36712805,Pain at rest of left lower limb co-occurrent and due to atherosclerosis,SNOMED CT
peripheral_vascular_disease,4325344,Pain at rest due to peripheral vascular disease,SNOMED CT
peripheral_vascular_disease,37312520,Ischemic foot ulcer due to atherosclerosis of artery of lower limb,SNOMED CT
peripheral_vascular_disease,36712806,Intermittent claudication of right lower limb co-occurrent and due to atherosclerosis,SNOMED CT
peripheral_vascular_disease,36717286,Intermittent claudication of left lower limb co-occurrent and due to atherosclerosis,SNOMED CT
peripheral_vascular_disease,36717006,Intermittent claudication of bilateral lower limbs co-occurrent and due to atherosclerosis,SNOMED CT
peripheral_vascular_disease,37312529,Intermittent claudication due to atherosclerosis of artery of limb,SNOMED CT
peripheral_vascular_disease,442774,Intermittent claudication,SNOMED CT
peripheral_vascular_disease,321882,Generalized atherosclerosis,SNOMED CT
peripheral_vascular_disease,36717279,Gangrene of right lower limb due to atherosclerosis,SNOMED CT
peripheral_vascular_disease,37312531,Gangrene of limb due to atherosclerosis of artery of limb,SNOMED CT
peripheral_vascular_disease,36712963,Gangrene of left lower limb due to atherosclerosis,SNOMED CT
peripheral_vascular_disease,134380,Erythromelalgia,SNOMED CT
peripheral_vascular_disease,432346,Dissection of vertebral artery,SNOMED CT
peripheral_vascular_disease,37016882,Dissection of thoracoabdominal aorta,SNOMED CT
peripheral_vascular_disease,436136,Dissection of thoracic aorta,SNOMED CT
peripheral_vascular_disease,37016889,Dissection of renal artery,SNOMED CT
peripheral_vascular_disease,201043,Dissection of iliac artery,SNOMED CT
peripheral_vascular_disease,37109512,Dissection of carotid artery,SNOMED CT
peripheral_vascular_disease,46272492,Dissection of artery,SNOMED CT
peripheral_vascular_disease,320739,Dissection of aorta,SNOMED CT
peripheral_vascular_disease,4256889,Dissection of abdominal aorta,SNOMED CT
peripheral_vascular_disease,199064,Chronic vascular insufficiency of intestine,SNOMED CT
peripheral_vascular_disease,44782819,Chronic occlusion of artery of extremity,SNOMED CT
peripheral_vascular_disease,35611566,Bilateral lower limb atherosclerosis pain at rest co-occurrent and due to atherosclerosis,SNOMED CT
peripheral_vascular_disease,35615028,Bilateral atherosclerosis of lower limbs with gangrene,SNOMED CT
peripheral_vascular_disease,195834,Atherosclerosis of renal artery,SNOMED CT
peripheral_vascular_disease,40484551,Atherosclerosis of nonautologous biological bypass graft of limb,SNOMED CT
peripheral_vascular_disease,46271459,Atherosclerosis of bypass graft of lower limb,SNOMED CT
peripheral_vascular_disease,40483538,Atherosclerosis of bypass graft of limb,SNOMED CT
peripheral_vascular_disease,40484541,Atherosclerosis of autologous vein bypass graft of limb,SNOMED CT
peripheral_vascular_disease,37110250,Atherosclerosis of artery of lower limb,SNOMED CT
peripheral_vascular_disease,40479625,Atherosclerosis of artery,SNOMED CT
peripheral_vascular_disease,315558,Atherosclerosis of arteries of the extremities,SNOMED CT
peripheral_vascular_disease,312934,Atherosclerosis of aorta,SNOMED CT
peripheral_vascular_disease,318443,Arteriosclerotic vascular disease,SNOMED CT
