Deficit,SNOMEDCT_CONCEPTID,CTV3,Provenance,Codedescription,TimeConstraintyears,AgeLimit,Otherinstructions,new_descriptions
Abdominal pain,162031009,195..,efi-abdominal_pain,Indigestion symptoms,5,,,Indigestion
Abdominal pain,16331000,1955,efi-abdominal_pain,Heartburn,5,,,Heartburn
Abdominal pain,247358007,196..,efi-abdominal_pain,Type of GIT pain (& [abdominal pain] or [symptom]),5,,,Abdominal pain type
Abdominal pain,270477000,196..,efi-abdominal_pain,Type of GIT pain (& [abdominal pain] or [symptom]),5,,,Type of gastrointestinal tract pain
Abdominal pain,162038003,1963,efi-abdominal_pain,Non-colicky abdominal pain,5,,,Non-colicky abdominal pain
Abdominal pain,162039006,1964,efi-abdominal_pain,Shoulder pain from abdomen,5,,,Shoulder pain from abdomen
Abdominal pain,43364001,1968,efi-abdominal_pain,Abdominal discomfort,5,,,Abdominal discomfort
Abdominal pain,21522001,1969,efi-abdominal_pain,Abdominal pain,5,,,Abdominal pain
Abdominal pain,162042000,19690,efi-abdominal_pain,Abdominal wall pain,5,,,Abdominal wall pain
Abdominal pain,247353003,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,,Site of abdominal pain
Abdominal pain,247355005,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,,Flank pain
Abdominal pain,247354009,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,,Iliac fossa pain
Abdominal pain,267050002,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,,Site of GIT pain
Abdominal pain,247352008,197..,efi-abdominal_pain,Pain: [GIT site]/[abdomin]/[flank]/[subcostal]/[iliac fossa],5,,,Subcostal pain
Abdominal pain,162046002,1971,efi-abdominal_pain,Central abdominal pain,5,,,Central abdominal pain
Abdominal pain,79922009,1972,efi-abdominal_pain,Epigastric pain,5,,,Epigastric pain
Abdominal pain,162051008,1977,efi-abdominal_pain,Right iliac fossa pain,5,,,Right iliac fossa pain
Abdominal pain,162052001,1978,efi-abdominal_pain,Left iliac fossa pain,5,,,Pain in left iliac fossa
Abdominal pain,162053006,1979,efi-abdominal_pain,Suprapubic pain,5,,,Suprapubic pain
Abdominal pain,102614006,197A.,efi-abdominal_pain,Generalised abdominal pain,5,,,Generalized abdominal pain
Abdominal pain,83132003,197B.,efi-abdominal_pain,Upper abdominal pain,5,,,Upper abdominal pain
Abdominal pain,54586004,197C.,efi-abdominal_pain,Lower abdominal pain,5,,,Lower abdominal pain
Abdominal pain,268941000,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,,O/E - abdomen tender
Abdominal pain,163218001,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,,O/E - abd. pain - umbilical
Abdominal pain,308903002,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,,O/E - epigastric pain on palp.
Abdominal pain,275315004,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,,O/E - iliac pain on palpation
Abdominal pain,275316003,25C..,efi-abdominal_pain,O/E: pain on palptn (& [abdom][epigast][iliac][lumb][umbil]),5,,,O/E - lumbar pain on palpation
Abdominal pain,163214004,25C2.,efi-abdominal_pain,O/E - abd.pain-R.hypochondrium,5,,,O/E - abd.pain-R.hypochondrium
Abdominal pain,163215003,25C3.,efi-abdominal_pain,O/E - abd. pain - epigastrium,5,,,O/E - abd. pain - epigastrium
Abdominal pain,163216002,25C4.,efi-abdominal_pain,O/E - abd.pain-L.hypochondrium,5,,,O/E - abd.pain-L.hypochondrium
Abdominal pain,163217006,25C5.,efi-abdominal_pain,O/E - abd. pain - R.lumbar,5,,,O/E - abd. pain - R.lumbar
Abdominal pain,163219009,25C7.,efi-abdominal_pain,O/E - abd. pain - L.lumbar,5,,,O/E - abd. pain - L.lumbar
Abdominal pain,163220003,25C8.,efi-abdominal_pain,O/E - abd. pain - R.iliac,5,,,O/E - abd. pain - R.iliac
Abdominal pain,163221004,25C9.,efi-abdominal_pain,O/E - abd. pain - hypogastrium,5,,,O/E - abd. pain - hypogastrium
Abdominal pain,163222006,25CA.,efi-abdominal_pain,O/E - abd. pain - L.iliac,5,,,O/E - abd. pain - L.iliac
Abdominal pain,235595009,J1011,efi-abdominal_pain,Acid reflux &/or oesophagitis,5,,,Gastroesophageal reflux disease
Abdominal pain,266433003,J1011,efi-abdominal_pain,Acid reflux &/or oesophagitis,5,,,Reflux esophagitis
Abdominal pain,57643001,J1011,efi-abdominal_pain,Acid reflux &/or oesophagitis,5,,,Peptic reflux disease
Abdominal pain,249511005,J16y4,efi-abdominal_pain,Dyspepsia (& [flatulent] or [NOS]),5,,,Flatulent dyspepsia
Abdominal pain,9991008,R0901,efi-abdominal_pain,[D]Abdominal colic,5,,,Abdominal colic
Abdominal pain,88522004,R0906,efi-abdominal_pain,[D]Umbilical pain,5,,,Umbilical pain
Abdominal pain,271853005,R0907,efi-abdominal_pain,[D]Hypochondrial pain,5,,,Hypochondrial pain
Abdominal pain,4.78711E+14,Ryu11,efi-abdominal_pain,[X]Other and unspecified abdominal pain,5,,,[X]Symptoms and signs involving the digestive system and abdomen (finding)
Abdominal pain,235841007,X3062,efi-abdominal_pain,Chronic nonspecific abdominal pain,5,,,Chronic nonspecific abdominal pain
Abdominal pain,274289007,XE1jA,efi-abdominal_pain,O/E pain: [abdom (& on palpat)][epigast][iliac][lumb][umbil],5,,,O/E - iliac pain - abd.
Abdominal pain,274287009,XE1jA,efi-abdominal_pain,O/E pain: [abdom (& on palpat)][epigast][iliac][lumb][umbil],5,,,O/E - abdominal pain
Abdominal pain,274288004,XE1jA,efi-abdominal_pain,O/E pain: [abdom (& on palpat)][epigast][iliac][lumb][umbil],5,,,O/E - epigastric pain
Abdominal pain,274290003,XE1jA,efi-abdominal_pain,O/E pain: [abdom (& on palpat)][epigast][iliac][lumb][umbil],5,,,O/E - lumbar pain abd.
Abdominal pain,274292006,XE1jE,efi-abdominal_pain,O/E - left iliac: [abdominal pain] or [tender],5,,,O/E left iliac fossa tender
Abdominal pain,274277005,XE2cT,efi-abdominal_pain,Right iliac fossa pain (& C/O),5,,,C/O right iliac fossa pain
Abdominal pain,274278000,XE2cV,efi-abdominal_pain,Left iliac fossa pain (& C/O),5,,,C/O left iliac fossa pain
Abdominal pain,271858001,XM093,efi-abdominal_pain,Recurrent acute abdominal pain,5,,,Recurrent acute abdominal pain
Abdominal pain,285387005,Xa35t,efi-abdominal_pain,Left sided abdominal pain,5,,,Left sided abdominal pain
Abdominal pain,285388000,Xa35u,efi-abdominal_pain,Right sided abdominal pain,5,,,Right sided abdominal pain
Abdominal pain,301367001,Xa7wu,efi-abdominal_pain,Right hypochondrial pain,5,,,Right hypochondrial pain
Abdominal pain,301368006,Xa7wv,efi-abdominal_pain,Left hypochondrial pain,5,,,Left hypochondrial pain
Abdominal pain,301715003,Xa83q,efi-abdominal_pain,Left upper quadrant pain,5,,,Left upper quadrant pain
Abdominal pain,301716002,Xa83r,efi-abdominal_pain,Left lower quadrant pain,5,,,Left lower quadrant pain
Abdominal pain,301717006,Xa83s,efi-abdominal_pain,Right upper quadrant pain,5,,,Right upper quadrant pain
Abdominal pain,301754002,Xa84T,efi-abdominal_pain,Right lower quadrant pain,5,,,Right lower quadrant pain
