concept_id,excluded,descendants,mapped
433316,FALSE,FALSE,FALSE
905035,FALSE,FALSE,FALSE
1333255,FALSE,FALSE,FALSE
1340313,FALSE,FALSE,FALSE
4011333,FALSE,FALSE,FALSE
4012243,FALSE,FALSE,FALSE
4012520,FALSE,FALSE,FALSE
4012691,FALSE,FALSE,FALSE
4097171,FALSE,FALSE,FALSE
4198449,FALSE,FALSE,FALSE
4223938,FALSE,FALSE,FALSE
4250121,FALSE,FALSE,FALSE
4297376,FALSE,FALSE,FALSE
4337455,FALSE,FALSE,FALSE
40768436,FALSE,FALSE,FALSE
42539141,FALSE,FALSE,FALSE
43021417,FALSE,FALSE,FALSE
44806935,FALSE,FALSE,FALSE
45769954,FALSE,FALSE,FALSE
