concept_set,points,icd10_code,icd_description
abnormal_results_of_function_studies,1.4,R94,Abnormal results of function studies
abnormalities_of_gait_and_mobility,2.6,R26,Abnormalities of gait and mobility
abnormalities_of_heart_beat,0.7,R00,Abnormalities of heart beat
acute_renal_failure,1.8,N17,Acute renal failure
agent_resistant_to_penicillin_and_related_antibiotics,0.8,U80,Agent resistant to penicillin and related antibiotics
alzheimers_disease,4,G30,Alzheimer's disease
artificial_opening_status,1,Z93,Artificial opening status
blindness_and_low_vision,1.9,H54,Blindness and low vision
calculus_of_kidney_and_ureter,0.7,N20,Calculus of kidney and ureter
care_involving_use_of_rehabilitation_procedures,2.1,Z50,Care involving use of rehabilitation procedures
carrier_of_infectious_disease,1.7,Z22,Carrier of infectious disease
cellulitis,2,L03,Cellulitis
cerebral_infarction,0.8,I63,Cerebral Infarction
cerebral_ischaemic_attacks,1.2,G45,Transient cerebral ischaemic attacks and related syndromes
chronic_renal_failure,1.4,N18,Chronic renal failure
cognitive_functions_and_awareness,2.7,R41,Other symptoms and signs involving cognitive functions and awareness
convulsions_not_elsewhere_classified,2.6,R56,"Convulsions, not elsewhere classified"
decubitus_ulcer,1.7,L89,Decubitus ulcer
deficiency_of_other_b_group_vitamins,1.9,E53,Deficiency of other B group vitamins
degenerative_diseases_of_nervous_system,1.2,G31,"Other degenerative diseases of nervous system, not elsewhere classified"
delirium,3.2,F05,"Delirium, not induced by alcohol and other psychoactive substances"
dementia_in_alzheimers_disease,7.1,F00,Dementia in Alzheimer's disease
dependence_on_enabling_machines_and_devices,0.8,Z99,Dependence on enabling machines and devices
depressive_episode,0.5,F32,Depressive episode
diarrhoea_and_gastroenteritis,1.1,A09,Diarrhoea and gastroenteritis of presumed infectious origin
disorders_of_kidney_and_ureter,1.3,N28,"Other disorders of kidney and ureter, not elsewhere classified"
disorders_of_mineral_metabolism,0.4,E83,Disorders of mineral metabolism
duodenal_ulcer,1.6,K26,Duodenal ulcer
dysphagia,0.8,R13,Dysphagia
epilepsy,1.5,G40,Epilepsy
exposure_to_unspecified_factor,1.5,X59,Exposure to unspecified factor
fall,0.9,W01,"Fall on same level from slipping, tripping and stumbling"
fall_involving_bed,1.1,W06,Fall involving bed
fall_on_and_from_stairs_and_steps,0.9,W10,Fall on and from stairs and steps
fever_of_unknown_origin,0.1,R50,Fever of unknown origin
fluid_electrolyte_and_acid_base_balance,2.3,E87,"Other disorders of fluid, electrolyte and acid-base balance"
fracture_of_femur,1.4,S72,Fracture of femur
fracture_of_lumbar_spine_and_pelvis,1.4,S32,Fracture of lumbar spine and pelvis
fracture_of_ribs_sternum_and_thoracic_spine,1.8,S22,"Fracture of rib(s), sternum and thoracic spine"
fracture_of_shoulder_and_upper_arm,2.3,S42,Fracture of shoulder and upper arm
gangrene_not_elsewhere_classified,1,R02,"Gangrene, not elsewhere classified"
